id,product,product_specs,brand,categories,reviews.date,reviews.doRecommend,rating,reviews.text,reviews.title,reviews.username,price,review_sentiment
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",11/3/2016,TRUE,5,What a great product for the $. It does exactly what it needs to and then some.,Great value for the $,Leash,279,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",5/20/2016,TRUE,4,"The screen is adequate and the service is reliable. I did not play with it much due to it being a gift. Sadly the person it was purchased for was unable to hold onto it long enough to use it (elderly lady). I still have it though, and it's a great little backup to my primary tablet.",This is s nice little tablet to start out on,keenapony,479,Neutral
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",4/16/2016,TRUE,5,Great product for the price. Has everything my child needed. I recommend it for starters,Price is right,Chili,430,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1/6/2016,TRUE,5,"Got this for a Christmas gift for a friend. She loves it! No issues with product, software or quality.",Great product,NightAngel1228,499,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",12/7/2016,TRUE,5,I got this for my little sister. It is simple and easy for her to use.,Great Gift,User,499,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1/15/2016,TRUE,5,"For the price, this is an amazing tablet. I was able to side-load the Google Play Store for an even better Android experience. The best of both worlds (Amazon/Google)",Great Tablet,NYDave,449,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1/4/2017,FALSE,1,Screen was cracked but the package did arrive earlier than expected,Arrived broken,Dgp2017,499,Negative
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",7/8/2016,TRUE,5,"my kids love the games and browsing the web, perfect for a gift.",great tablet,default,449,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",3/5/2016,TRUE,4,If your not sure of what your needs are..The Fire is a good place to start..,Great tablet for the beginner...,jet1,559,Neutral
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",12/28/2015,TRUE,5,Works well for beginner or a child. Great gaming tablet,Great product,Chan,399,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",12/28/2015,TRUE,5,Very good tablet to gift somebody. I bought for my niece.,Nice tablet,NilP,336,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",8/26/2016,TRUE,5,"The Amazon Fire tablet is lightweight and easy to use. Great for Kindle books. Small enough to carry anywhere. If I'm waiting somewhere, I'm able to read while waiting.",Great product,PKD1951,399,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1/15/2016,TRUE,4,Definitely Worth the $50 would recommend to friends,Good value,Sahm,379,Neutral
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",12/24/2016,TRUE,5,The Kindle Fire is a great tablet. It satisfies my needs.,Excellent tablet for the price,countrycub,416,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",2/24/2017,TRUE,5,My niece loves her kindle tablet. She uses it all the time.,Nice tablet,Bmarie,339,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",2/16/2017,TRUE,5,I am extremely happy with this purchase. It is everything I expected and more. Great price for a beginner tablet.,Great tablet for beginner,FMartinez0627,224,Positive
AVphgVaX1cnluZ0-DR74,Fire Tablet,"Fire Tablet, 7 Display, Wi-Fi, 8 GB/ Special Offers, Magenta",Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1/5/2016,TRUE,5,"This is the second Amazon tablet I have purchased and they both work very well. My 8 year old does his homework on the tablet. The screen is bright and clear, build quality is good and he is delighted with the number of games available",Great tablet at a great price,srhutson,499,Positive
